angle ; sinus ; cosinus ; tan ; artan
53 ; 0.798635 ; 0.601815 ; 1.327044 ; 0.746470 ; 
54 ; 0.809017 ; 0.587785 ; 1.376381 ; 0.755794 ; 
55 ; 0.819152 ; 0.573577 ; 1.428147 ; 0.764957 ; 
56 ; 0.829037 ; 0.559193 ; 1.482560 ; 0.773961 ; 
57 ; 0.838670 ; 0.544639 ; 1.539864 ; 0.782810 ; 
58 ; 0.848048 ; 0.529919 ; 1.600334 ; 0.791506 ; 
59 ; 0.857167 ; 0.515038 ; 1.664279 ; 0.800051 ; 
60 ; 0.866025 ; 0.500000 ; 1.732050 ; 0.808449 ; 
61 ; 0.874620 ; 0.484810 ; 1.804047 ; 0.816701 ; 
62 ; 0.882947 ; 0.469472 ; 1.880725 ; 0.824811 ; 
63 ; 0.891006 ; 0.453991 ; 1.962609 ; 0.832781 ; 
64 ; 0.898794 ; 0.438371 ; 2.050303 ; 0.840614 ; 
65 ; 0.906308 ; 0.422618 ; 2.144506 ; 0.848312 ; 
66 ; 0.913545 ; 0.406737 ; 2.246035 ; 0.855877 ; 
67 ; 0.920505 ; 0.390731 ; 2.355851 ; 0.863314 ; 
68 ; 0.927184 ; 0.374607 ; 2.475085 ; 0.870623 ; 
69 ; 0.933580 ; 0.358368 ; 2.605087 ; 0.877807 ; 
70 ; 0.939693 ; 0.342020 ; 2.747475 ; 0.884869 ; 
71 ; 0.945518 ; 0.325568 ; 2.904208 ; 0.891812 ; 
72 ; 0.951056 ; 0.309017 ; 3.077681 ; 0.898637 ; 
73 ; 0.956305 ; 0.292372 ; 3.270850 ; 0.905347 ; 
74 ; 0.961262 ; 0.275638 ; 3.487411 ; 0.911944 ; 
75 ; 0.965926 ; 0.258819 ; 3.732047 ; 0.918431 ; 
76 ; 0.970296 ; 0.241922 ; 4.010776 ; 0.924809 ; 
77 ; 0.974370 ; 0.224951 ; 4.331470 ; 0.931081 ; 
78 ; 0.978148 ; 0.207912 ; 4.704624 ; 0.937249 ; 
79 ; 0.981627 ; 0.190809 ; 5.144546 ; 0.943316 ; 
80 ; 0.984808 ; 0.173648 ; 5.671272 ; 0.949282 ; 
